source,relation,target,true_label,score
/m/07h5d,/people/person/gender,/m/02zsn,0.0,1.0
/m/06t61y,/people/person/gender,/m/05zppz,0.0,0.0
/m/0c8hct,/people/person/gender,/m/05zppz,1.0,0.0
/m/05218gr,/people/person/gender,/m/02zsn,0.0,0.0
/m/05nzw6,/people/person/gender,/m/02zsn,0.0,1.0
/m/06t8b,/people/person/gender,/m/02zsn,0.0,1.0
/m/044qx,/people/person/gender,/m/05zppz,1.0,0.0
/m/042xh,/people/person/gender,/m/05zppz,0.0,1.0
/m/0ccqd7,/people/person/gender,/m/05zppz,1.0,1.0
/m/045g4l,/people/person/gender,/m/05zppz,1.0,1.0
/m/04bs3j,/people/person/gender,/m/02zsn,1.0,0.0
/m/03wjb7,/people/person/gender,/m/02zsn,0.0,1.0
/m/043hg,/people/person/gender,/m/02zsn,0.0,0.0
/m/040db,/people/person/gender,/m/02zsn,0.0,0.0
/m/06jrhz,/people/person/gender,/m/05zppz,1.0,0.0
/m/078g3l,/people/person/gender,/m/05zppz,1.0,1.0
/m/0466k4,/people/person/gender,/m/02zsn,0.0,1.0
/m/0ck91,/people/person/gender,/m/05zppz,0.0,0.0
/m/09fqtq,/people/person/gender,/m/05zppz,1.0,1.0
/m/09gffmz,/people/person/gender,/m/02zsn,0.0,0.0
/m/0cbkc,/people/person/gender,/m/02zsn,1.0,0.0
/m/0gx_p,/people/person/gender,/m/02zsn,1.0,1.0
/m/051m56,/people/person/gender,/m/05zppz,1.0,1.0
/m/040nwr,/people/person/gender,/m/05zppz,0.0,0.0
/m/09fqd3,/people/person/gender,/m/05zppz,1.0,1.0
/m/0gct_,/people/person/gender,/m/02zsn,0.0,1.0
/m/04kwbt,/people/person/gender,/m/02zsn,0.0,1.0
/m/05myd2,/people/person/gender,/m/05zppz,1.0,0.0
/m/05b4rcb,/people/person/gender,/m/02zsn,0.0,1.0
/m/047jhq,/people/person/gender,/m/02zsn,1.0,1.0
/m/0jf1b,/people/person/gender,/m/02zsn,0.0,1.0
/m/05qsxy,/people/person/gender,/m/05zppz,1.0,0.0
/m/05vzql,/people/person/gender,/m/02zsn,1.0,0.0
/m/0863x_,/people/person/gender,/m/02zsn,0.0,0.0
/m/043hg,/people/person/gender,/m/05zppz,1.0,1.0
/m/0fn5bx,/people/person/gender,/m/05zppz,0.0,1.0
/m/079dy,/people/person/gender,/m/05zppz,1.0,0.0
/m/06y9bd,/people/person/gender,/m/02zsn,1.0,1.0
/m/06jrhz,/people/person/gender,/m/02zsn,0.0,1.0
/m/0cj2t3,/people/person/gender,/m/02zsn,1.0,1.0
/m/06f5j,/people/person/gender,/m/05zppz,1.0,0.0
/m/0gl88b,/people/person/gender,/m/02zsn,1.0,1.0
/m/03q5dr,/people/person/gender,/m/05zppz,0.0,0.0
/m/0443c,/people/person/gender,/m/02zsn,0.0,0.0
/m/048_p,/people/person/gender,/m/05zppz,1.0,0.0
/m/057bc6m,/people/person/gender,/m/05zppz,1.0,1.0
/m/0c3ns,/people/person/gender,/m/05zppz,1.0,0.0
/m/0dszr0,/people/person/gender,/m/05zppz,0.0,1.0
/m/044zvm,/people/person/gender,/m/02zsn,1.0,0.0
/m/03rwng,/people/person/gender,/m/02zsn,1.0,0.0
/m/069z_5,/people/person/gender,/m/02zsn,0.0,1.0
/m/07jmnh,/people/person/gender,/m/05zppz,1.0,0.0
/m/0cw67g,/people/person/gender,/m/05zppz,1.0,1.0
/m/04y79_n,/people/person/gender,/m/05zppz,1.0,1.0
/m/062dn7,/people/person/gender,/m/02zsn,0.0,0.0
/m/0b_dh,/people/person/gender,/m/02zsn,0.0,1.0
/m/03wjb7,/people/person/gender,/m/05zppz,1.0,0.0
/m/03qncl3,/people/person/gender,/m/02zsn,0.0,0.0
/m/0466k4,/people/person/gender,/m/05zppz,1.0,0.0
/m/04bdqk,/people/person/gender,/m/02zsn,1.0,0.0
/m/0cc63l,/people/person/gender,/m/05zppz,1.0,0.0
/m/07h5d,/people/person/gender,/m/05zppz,1.0,0.0
/m/0gyx4,/people/person/gender,/m/02zsn,0.0,0.0
/m/04z_x4v,/people/person/gender,/m/05zppz,1.0,1.0
/m/06d6y,/people/person/gender,/m/05zppz,1.0,0.0
/m/044mvs,/people/person/gender,/m/05zppz,1.0,1.0
/m/045g4l,/people/person/gender,/m/02zsn,0.0,0.0
/m/0bdt8,/people/person/gender,/m/02zsn,1.0,0.0
/m/049fgvm,/people/person/gender,/m/05zppz,1.0,0.0
/m/06sn8m,/people/person/gender,/m/02zsn,0.0,0.0
/m/067xw,/people/person/gender,/m/02zsn,0.0,0.0
/m/048hf,/people/person/gender,/m/05zppz,1.0,1.0
/m/07hbxm,/people/person/gender,/m/05zppz,0.0,0.0
/m/051m56,/people/person/gender,/m/02zsn,0.0,0.0
/m/07vfqj,/people/person/gender,/m/05zppz,1.0,0.0
/m/06d6y,/people/person/gender,/m/02zsn,0.0,1.0
/m/040_9,/people/person/gender,/m/02zsn,0.0,0.0
/m/09qc1,/people/person/gender,/m/05zppz,1.0,1.0
/m/0cfywh,/people/person/gender,/m/05zppz,1.0,0.0
/m/0c3ns,/people/person/gender,/m/02zsn,0.0,1.0
/m/06y9bd,/people/person/gender,/m/05zppz,0.0,0.0
/m/0f7hc,/people/person/gender,/m/02zsn,0.0,1.0
/m/078mgh,/people/person/gender,/m/05zppz,1.0,1.0
/m/0gnbw,/people/person/gender,/m/02zsn,0.0,0.0
/m/03xb2w,/people/person/gender,/m/05zppz,1.0,0.0
/m/0cj2t3,/people/person/gender,/m/05zppz,0.0,0.0
/m/05b49tt,/people/person/gender,/m/02zsn,0.0,1.0
/m/07lwsz,/people/person/gender,/m/05zppz,1.0,0.0
/m/04pf4r,/people/person/gender,/m/02zsn,0.0,1.0
/m/067sqt,/people/person/gender,/m/05zppz,0.0,1.0
/m/09cdxn,/people/person/gender,/m/02zsn,0.0,0.0
